Line,Strat Time,End Time
Then I pulled himinto the parking lot...,"00:12:10,648 "," 00:12:12,066"
At which point she revealed,"00:12:12,233 "," 00:12:13,359"
that she had also swipedthe keys to the guy's Mustang.,"00:12:13,442 "," 00:12:15,736"
"Yeah, we went on a littlejoyride around the block.","00:12:15,903 "," 00:12:17,988"
"And your wifewas in the car, too.","00:12:18,072 "," 00:12:19,532"
 That's true. You were. What?,"00:12:19,698 "," 00:12:21,325"
I was just in the back seat.,"00:12:21,409 "," 00:12:22,827"
That's a part of the car.,"00:12:22,910 "," 00:12:23,911"
That's stilla part of the car.,"00:12:23,994 "," 00:12:25,079"
How have younever told me this story?,"00:12:25,162 "," 00:12:26,789"
"You know,before she was a lawyer,","00:12:26,956 "," 00:12:28,124"
your girl was pretty wild.,"00:12:28,207 "," 00:12:29,458"
Oh! What happened?,"00:12:29,708 "," 00:12:31,293"
I grew up.,"00:12:33,129 "," 00:12:34,296"
What's that supposed to mean?,"00:12:34,880 "," 00:12:36,090"
"Yeah, what's thatsupposed to mean?","00:12:36,173 "," 00:12:37,174"
That maybe there's a point,"00:12:37,258 "," 00:12:38,926"
where you're supposedto stop going on joyrides,"00:12:39,009 "," 00:12:40,970"
and start thinking aboutliving up to your potential.,"00:12:41,137 "," 00:12:43,556"
"Please tell meyou're kidding, Soo.","00:12:43,722 "," 00:12:45,224"
"Look,","00:12:45,391 "," 00:12:46,392"
we're now living in a world,"00:12:46,600 "," 00:12:47,643"
where at any moment,"00:12:47,726 "," 00:12:48,727"
half the populationcan just disappear.,"00:12:48,811 "," 00:12:50,563"
Life's too shortand too fragile.,"00:12:51,313 "," 00:12:53,566"
"Katy, you're a valet driver","00:12:53,732 "," 00:12:55,317"
"with an honours degreefrom Berkeley,","00:12:55,401 "," 00:12:56,861"
"and Shaun can speak,like, four languages.","00:12:57,027 "," 00:12:59,280"
You've always been the mosttalented people I know.,"00:12:59,447 "," 00:13:01,365"
I just don't get whyyou're scared,"00:13:01,532 "," 00:13:03,617"
to actually use itfor something serious.,"00:13:03,701 "," 00:13:05,578"
Wow.,"00:13:06,287 "," 00:13:07,288"
You sound like my mom.You also...,"00:13:08,164 "," 00:13:10,875"
"dress like hera little bit, too.","00:13:11,041 "," 00:13:12,376"
"Where's this from, Talbots?","00:13:12,460 "," 00:13:14,503"
We're not runningfrom adulthood.,"00:13:14,587 "," 00:13:16,505"
How is it running to have jobsthat you actually like?,"00:13:16,672 "," 00:13:18,966"
"Yeah, that doesn'teven make any sense.","00:13:19,133 "," 00:13:20,634"
Did you thinkvalet parking is easy?,"00:13:20,718 "," 00:13:23,095"
It's like the mostchallenging job ever.,"00:13:23,262 "," 00:13:25,181"
"You need people skills,driving skills...","00:13:25,264 "," 00:13:27,516"
Soo can't evenparallel park.,"00:13:27,725 "," 00:13:29,226"
"Well, it's almost midnight.We got the early shift.","00:13:32,897 "," 00:13:35,566"
"Should probably beresponsible, go to sleep.","00:13:36,150 "," 00:13:38,736"
"Yeah, we can be responsible.We can do that.","00:13:38,903 "," 00:13:40,613"
Or...,"00:13:40,779 "," 00:13:42,239"
"Over,sideways and under on a...","00:13:42,406 "," 00:13:46,118"
Take my horseto the old town road,"00:13:46,285 "," 00:13:48,496"
I'm gonna,"00:13:48,579 "," 00:13:49,580"
Close my eyes,"00:13:49,663 "," 00:13:51,790"
I don't wanna...,"00:13:52,541 "," 00:13:53,626"
"Morning, Mrs. Chen.","00:14:27,535 "," 00:14:28,661"
She's not ready yet.,"00:14:28,827 "," 00:14:29,954"
Come have some joewhile you wait.,"00:14:30,120 "," 00:14:31,789"
"Katy, Shaun's here.","00:14:33,457 "," 00:14:35,417"
"Yeah, Mom,be there in a minute.","00:14:35,584 "," 00:14:37,336"
"Ruihua,","00:14:37,419 "," 00:14:38,420"
you're supposed to be helpingyour dad stock the shop.,"00:14:38,504 "," 00:14:41,006"
"Mom, I can't work on an emptystomach, my legs get crampy.","00:14:41,173 "," 00:14:44,343"
Maybe Shaun can help him,"00:14:44,510 "," 00:14:45,886"
instead of just showing upevery day to eat our food.,"00:14:45,970 "," 00:14:48,180"
I'm happy to help.,"00:14:48,347 "," 00:14:49,557"
"No, it's Ruihua's job,let him do it.","00:14:49,723 "," 00:14:52,434"
Waipo.,"00:14:53,102 "," 00:14:54,144"
That seat's for Waigong.,"00:14:55,312 "," 00:14:56,939"
"Oh, sorry.","00:14:57,565 "," 00:14:59,108"
He's getting all his favourite thingsthis year for the Day of the Dead.,"00:14:59,191 "," 00:15:04,613"
Are you surethat Waigong's allowed to take,"00:15:04,780 "," 00:15:06,365"
Funyuns and cigarettes,"00:15:06,448 "," 00:15:07,449"
back to the afterlife?,"00:15:07,533 "," 00:15:08,742"
He can take anything.,"00:15:08,826 "," 00:15:10,578"
Last year I put a bottle of whiskyon his grave...,"00:15:10,744 "," 00:15:14,748"
And it was gone the next morning.,"00:15:15,124 "," 00:15:16,834"
I know you kids think it's silly.,"00:15:18,168 "," 00:15:21,422"
"We don't thinkit's silly, Waipo.","00:15:21,505 "," 00:15:23,299"
We just know Waigong would'vewanted you to move on,"00:15:23,924 "," 00:15:25,968"
and enjoy your life.,"00:15:26,051 "," 00:15:27,136"
Moving onis an American idea.,"00:15:27,219 "," 00:15:29,430"
"You're American, Mom!Don't forget.","00:15:29,597 "," 00:15:31,765"
"Shaun,","00:15:32,349 "," 00:15:33,350"
did my daughter applyto any new jobs this week?,"00:15:33,517 "," 00:15:36,687"
She really likes her job.,"00:15:36,854 "," 00:15:38,606"
We both do.,"00:15:38,772 "," 00:15:39,857"
Mmhmm.,"00:15:39,940 "," 00:15:40,941"
Waigong didn't move herefrom Hunan,"00:15:41,025 "," 00:15:42,818"
so you could park carsfor a living.,"00:15:42,985 "," 00:15:44,528"
"Well, on that note,","00:15:46,488 "," 00:15:47,573"
I think we're gonnamiss our bus.,"00:15:47,656 "," 00:15:49,116"
Mm.,"00:15:49,199 "," 00:15:50,242"
I'm sorryfor my unacceptable job.,"00:15:50,326 "," 00:15:52,077"
"And for staying out latelast night,","00:15:52,244 "," 00:15:53,537"
trying to enjoy my life.,"00:15:53,621 "," 00:15:55,164"
"But one day, I'll make youproud, I promise.","00:15:55,623 "," 00:15:57,499"
"I'm proud of you, sis.","00:15:57,666 "," 00:15:59,043"
Parking cars is super hard.,"00:15:59,209 "," 00:16:01,670"
"Thanks, bro.","00:16:01,879 "," 00:16:02,880"
"Maybe one day you'll passyour driver's test,","00:16:02,963 "," 00:16:04,214"
live the dream like me.,"00:16:04,298 "," 00:16:05,299"
"Come on, Shaun, let's go.","00:16:05,466 "," 00:16:06,467"
When are you two goingto get married?,"00:16:09,928 "," 00:16:11,889"
"Waipo, we're just friends.","00:16:11,972 "," 00:16:13,265"
"All right. Go, go, go.","00:16:14,433 "," 00:16:16,977"
Look. Look at that.Look at that girl.,"00:16:24,777 "," 00:16:26,945"
She's writing a research paperon a bus.,"00:16:27,112 "," 00:16:29,031"
So?,"00:16:29,531 "," 00:16:30,532"
That is exactly the daughter,"00:16:30,616 "," 00:16:32,034"
my mom wishescame out of her vagina.,"00:16:32,117 "," 00:16:33,869"
I'm sorry about her.,"00:16:35,537 "," 00:16:37,581"
How's it goin'?,"00:16:39,166 "," 00:16:40,167"
"Give me the pendant,","00:16:44,213 "," 00:16:46,507"
and no one gets hurt.,"00:16:46,674 "," 00:16:48,801"
Do you know this guy?,"00:16:49,510 "," 00:16:50,969"
"I don't know whatyou're talking about, dude.","00:16:52,429 "," 00:16:54,098"
 Hey! Get off of me! Whoa.,"00:16:55,641 "," 00:16:57,810"
"What is wrong with you,asshole?","00:16:58,519 "," 00:17:00,020"
I don't want any trouble.,"00:17:00,145 "," 00:17:02,231"
Then give us the pendant!,"00:17:02,314 "," 00:17:04,149"
You have the wrong guy!,"00:17:04,316 "," 00:17:05,984"
Does he look likehe can fight?,"00:17:06,151 "," 00:17:07,403"
"Come on, bro!","00:17:07,486 "," 00:17:09,113"
You okay?,"00:17:18,372 "," 00:17:19,373"
"Yo, what up, y'all?It's your boy Klev,","00:17:35,055 "," 00:17:36,932"
comin' at you live on the bus.,"00:17:37,099 "," 00:17:38,767"
I actually did take,"00:17:38,934 "," 00:17:40,227"
"a little bit of martial artsas a youth,","00:17:40,310 "," 00:17:42,146"
so I'm gonna try and gradethis fight as we're goin'.,"00:17:42,354 "," 00:17:45,107"
Holy shit.,"00:17:58,996 "," 00:18:00,497"
Who are you?,"00:18:01,707 "," 00:18:03,125"
"You got this, bro!","00:18:17,931 "," 00:18:19,016"
My bad.,"00:18:22,978 "," 00:18:23,979"
"No, no, no!","00:18:49,463 "," 00:18:50,631"
Sorry.,"00:18:52,049 "," 00:18:53,217"
What the hell's going on?,"00:18:55,052 "," 00:18:56,094"
You really wanna talkabout this now?,"00:18:56,220 "," 00:18:57,304"
Bus driver is down.,"00:19:04,645 "," 00:19:06,021"
I'm not gonna handle this.,"00:19:06,188 "," 00:19:07,356"
"Every time I've tried to drivea bus, I get yelled at.","00:19:07,523 "," 00:19:09,775"
"Go, you freak!","00:19:29,878 "," 00:19:31,046"
"Open the door, please!","00:20:23,390 "," 00:20:24,683"
The back is about to go.,"00:20:28,645 "," 00:20:30,105"
"On my signal,make a hard right.","00:20:30,272 "," 00:20:32,316"
What signal?,"00:20:32,482 "," 00:20:33,483"
Everybody to the front now!,"00:21:02,971 "," 00:21:04,389"
"Go! Go, go, go.","00:21:05,766 "," 00:21:07,100"
"What's up, y'all? What's up,y'all? What's up, y'all?","00:21:07,976 "," 00:21:09,895"
You and your sisterdeserve what's coming.,"00:21:21,198 "," 00:21:23,617"
"Hold on, everybody!","00:21:48,642 "," 00:21:50,060"
"Oh, God.","00:21:50,310 "," 00:21:51,311"
"Oh, my God!","00:21:59,611 "," 00:22:01,446"
Sorry. Heh.,"00:22:14,334 "," 00:22:15,961"
We make a good team.,"00:22:16,753 "," 00:22:18,088"
Shaun. Hey.,"00:22:48,452 "," 00:22:49,870"
You need to tell mewhat the hell's going on.,"00:22:50,704 "," 00:22:52,622"
What are you doing?Where are you going?,"00:22:52,789 "," 00:22:54,374"
 Macau. Macau?,"00:22:54,541 "," 00:22:56,209"
"Those guys are goingafter my sister next,","00:22:56,293 "," 00:22:57,586"
and I have toget to her first.,"00:22:57,669 "," 00:22:58,670"
You have a sister?,"00:22:59,504 "," 00:23:00,881"
"Look, I knowthis is confusing.","00:23:01,048 "," 00:23:02,049"
"I'll explain itwhen I get back, I promise.","00:23:02,132 "," 00:23:03,383"
"No, no.","00:23:03,467 "," 00:23:04,468"
"Hell no, dude.","00:23:04,551 "," 00:23:05,635"
This is bullshit!,"00:23:05,802 "," 00:23:06,970"
I have been by your sidefor half your life.,"00:23:07,137 "," 00:23:09,473"
"I get there are things younever wanted to talk about,","00:23:09,639 "," 00:23:11,641"
and I never wanted to push.,"00:23:11,725 "," 00:23:13,185"
But a guy with a freakingmachete for an arm,"00:23:13,685 "," 00:23:16,354"
"just choppedour bus in half, Shaun!","00:23:16,521 "," 00:23:18,440"
Who the hell are you?,"00:23:18,607 "," 00:23:20,233"
My sister sent me thisa few months ago.,"00:23:28,325 "," 00:23:30,994"
I think it's the addressof where she's staying.,"00:23:31,161 "," 00:23:33,330"
Those guys back therewere sent by my dad.,"00:23:34,998 "," 00:23:39,086"
What?,"00:23:39,252 "," 00:23:40,253"
If they hurt her...,"00:23:41,338 "," 00:23:42,631"
"I'm sorry, but I have to go.","00:23:47,511 "," 00:23:49,429"
Fine.,"00:23:54,059 "," 00:23:55,060"
You can explain on the plane.,"00:23:55,227 "," 00:23:56,645"
"What?No, Katy, you can't just...","00:23:56,812 "," 00:23:58,146"
"You can explainon the plane, Shaun!","00:23:58,313 "," 00:24:00,023"
After my mom died...,"00:24:23,839 "," 00:24:25,132"
my dad started my training.,"00:24:26,591 "," 00:24:28,093"
"From sunup to sundown,","00:24:45,694 "," 00:24:47,028"
I was taught every possibleway to kill a man.,"00:24:47,195 "," 00:24:49,614"
"By the time I was 14,","00:25:39,748 "," 00:25:40,749"
I could barely remember,"00:25:40,832 "," 00:25:41,833"
what life was likebefore she died.,"00:25:41,917 "," 00:25:43,376"
That's how old I was,"00:25:45,962 "," 00:25:47,005"
when he sent meon my first assignment.,"00:25:47,088 "," 00:25:48,965"
I was willing to doanything he wanted.,"00:25:51,468 "," 00:25:53,803"
"If he asked meto burn the world down,","00:25:54,596 "," 00:25:55,847"
I would've asked him...,"00:25:55,931 "," 00:25:56,932"
Beef or vegetarian?,"00:25:57,015 "," 00:25:58,099"
"We're all out of the chicken,","00:26:00,644 "," 00:26:01,645"
so I can only offer youbeef or vegetarian?,"00:26:01,728 "," 00:26:03,980"
Um...,"00:26:04,522 "," 00:26:05,649"
" Vegetarian would be great. Yeah, same.","00:26:05,732 "," 00:26:08,151"
 Okay. Thank you.,"00:26:08,235 "," 00:26:09,319"
So...,"00:26:10,528 "," 00:26:11,529"
