Line,Strat Time,End Time
" No, I'm not. You lost me.","00:11:31,275 "," 00:11:32,318"
"Look, you know howyou're having a dream,","00:11:32,401 "," 00:11:33,527"
and in the dreamyou gotta pee.,"00:11:33,611 "," 00:11:34,737"
 Yeah. Okay.,"00:11:34,904 "," 00:11:35,905"
"And then you're like,Oh, my God.","00:11:36,072 "," 00:11:37,198"
There's no bathrooms.What am I gonna do?,"00:11:37,281 "," 00:11:38,449"
" Oh, someone's watching. Right.","00:11:38,532 "," 00:11:39,533"
"Oh, I'm gonnago in my pants.","00:11:39,617 "," 00:11:40,618"
And then you wake upand in real life,"00:11:40,701 "," 00:11:41,786"
you actually have to pee.,"00:11:41,869 "," 00:11:42,912"
 Yes. Yeah.,"00:11:42,995 "," 00:11:43,996"
 Okay. Everybody has that.,"00:11:44,080 "," 00:11:45,206"
"Right, that's the pointI'm trying to make.","00:11:45,373 "," 00:11:47,083"
"Apropos of that, last nightI dreamt we had a kid.","00:11:47,416 "," 00:11:51,420"
It was so real.,"00:11:52,004 "," 00:11:53,214"
We named himafter your eccentric uncle.,"00:11:53,589 "," 00:11:54,924"
"Uh, what was his name?","00:11:55,007 "," 00:11:56,008"
 Right. Morgan! Morgan.,"00:11:56,175 "," 00:11:58,427"
 So you woke up... Naturally.,"00:11:58,594 "," 00:12:00,221"
...and thought that we were...,"00:12:00,388 "," 00:12:01,972"
 Expecting. Yeah.,"00:12:02,139 "," 00:12:03,224"
 Yes? No.,"00:12:03,307 "," 00:12:04,350"
I had a dream about it.It was so real.,"00:12:04,433 "," 00:12:05,810"
If you wanted to have a kid...,"00:12:05,976 "," 00:12:07,311"
you wouldn't have done that.,"00:12:07,978 "," 00:12:09,397"
"I'm glad you brought this up,'cause it's nothing.","00:12:10,064 "," 00:12:12,024"
It's just a housing unitfor nanoparticles.,"00:12:12,108 "," 00:12:13,526"
"You're not helpingyour case, okay?","00:12:13,692 "," 00:12:15,111"
