Line,Strat Time,End Time
Baron Strucker.,"00:09:12,200 "," 00:09:13,804"
Hydra's number one thug.,"00:09:14,320 "," 00:09:16,243"
"Technically, I'm a thug for S.H.I.E.L.D.","00:09:16,960 "," 00:09:19,486"
"Well, then technicallyyou're unemployed.","00:09:19,640 "," 00:09:21,688"
Where's Loki's sceptre?,"00:09:22,120 "," 00:09:23,770"
"Don't worry, I know when I'm beat.","00:09:23,880 "," 00:09:25,803"
"You'll mention how I cooperated, I hope.","00:09:26,720 "," 00:09:29,291"
I'll put it right underillegal human experimentation.,"00:09:29,440 "," 00:09:31,886"
How many are there?,"00:09:33,080 "," 00:09:34,525"
We have a second Enhanced.Female. Do not engage.,"00:09:39,480 "," 00:09:42,404"
You'll have to be faster than...,"00:09:43,840 "," 00:09:45,330"
"Guys, I got Strucker.","00:09:50,520 "," 00:09:52,170"
"Yeah, I got something bigger.","00:09:52,360 "," 00:09:55,762"
"Thor,","00:10:19,040 "," 00:10:20,280"
I got eyes on the prize.,"00:10:21,120 "," 00:10:23,043"
You could have saved us.,"00:11:12,880 "," 00:11:16,248"
Why didn't you do more?,"00:11:24,280 "," 00:11:26,248"
We're just gonna let him take it?,"00:12:03,760 "," 00:12:05,569"
"Hey, the lullaby worked better than ever.","00:12:57,440 "," 00:12:59,681"
Just wasn't expecting a code green.,"00:13:01,480 "," 00:13:03,369"
"You hadn't been there,","00:13:03,440 "," 00:13:04,487"
there would have beendouble the casualties.,"00:13:04,560 "," 00:13:07,404"
My best friendwould've been a treasured memory.,"00:13:07,520 "," 00:13:10,046"
"You know,sometimes exactly what I want to hear","00:13:10,800 "," 00:13:12,723"
isn't exactly what I want to hear.,"00:13:12,840 "," 00:13:14,649"
How long before you trust me?,"00:13:15,800 "," 00:13:17,723"
It's not you I don't trust.,"00:13:19,720 "," 00:13:21,449"
"Thor, report on the Hulk.","00:13:23,320 "," 00:13:25,049"
The gates of Hel are filled withthe screams of his victims.,"00:13:25,240 "," 00:13:28,084"
"But not the screams of the dead,of course. No, no, wounded screams.","00:13:30,120 "," 00:13:33,124"
"Mainly whimpering,a great deal of complaining","00:13:33,240 "," 00:13:35,447"
and tales of sprained deltoids and gout.,"00:13:35,560 "," 00:13:39,565"
"Hey, Banner,Dr Cho is on her way in from Seoul.","00:13:40,080 "," 00:13:42,924"
Is it okay if she sets up in your lab?,"00:13:43,080 "," 00:13:44,600"
"Yeah, she knows her way around.","00:13:44,640 "," 00:13:46,563"
Thanks. Tell her to prep everything.,"00:13:46,760 "," 00:13:47,966"
Barton's gonna need the full treatment.,"00:13:48,080 "," 00:13:49,411"
" Very good, sir. Jarvis, take the wheel.","00:13:49,560 "," 00:13:51,403"
"Yes, sir.","00:13:51,600 "," 00:13:52,886"
Approach vector is locked.,"00:13:53,000 "," 00:13:54,889"
"Feels good, yeah?","00:13:55,040 "," 00:13:57,441"
"I mean, you've been after this thingsince S.H.I.E.L.D. collapsed.","00:13:57,560 "," 00:13:59,642"
"Not that I haven't enjoyedour little raiding parties, but...","00:13:59,760 "," 00:14:01,808"
"No, but this... This brings it to a close.","00:14:01,920 "," 00:14:04,321"
As soon as we find outwhat else this has been used for.,"00:14:05,080 "," 00:14:06,923"
I don't just mean weapons.,"00:14:07,080 "," 00:14:08,286"
Since when is Strucker capableof human enhancement?,"00:14:08,800 "," 00:14:11,121"
Banner and I will give it the once overbefore it goes back to Asgard.,"00:14:11,280 "," 00:14:13,521"
Is that cool with you?,"00:14:13,640 "," 00:14:14,687"
Just a few days till the farewell party.,"00:14:14,760 "," 00:14:16,808"
"You're staying, right?","00:14:17,360 "," 00:14:19,089"
"Yes, yes, of course. A victoryshould be honoured with revels.","00:14:19,200 "," 00:14:21,931"
"Yeah, who doesn't love revels? Captain?","00:14:22,040 "," 00:14:24,805"
Hopefully this puts an endto the Chitauri and Hydra.,"00:14:24,960 "," 00:14:27,850"
"So, yes, revels.","00:14:27,960 "," 00:14:29,564"
"Lab's all set up, boss.","00:15:03,640 "," 00:15:04,687"
"Actually, he's the boss.","00:15:04,840 "," 00:15:05,966"
I just pay for everythingand design everything,"00:15:06,080 "," 00:15:08,481"
and make everyone look cooler.,"00:15:08,640 "," 00:15:10,165"
What's the word on Strucker?,"00:15:10,320 "," 00:15:11,685"
 NATO's got him. The two Enhanced?,"00:15:11,800 "," 00:15:13,848"
Wanda and Pietro Maximoff. Twins.,"00:15:13,960 "," 00:15:16,566"
Orphaned at 10 when a shellcollapsed their apartment building.,"00:15:16,680 "," 00:15:19,524"
Sokovia's had a rough history.,"00:15:19,880 "," 00:15:22,167"
"It's nowhere special, but it'son the way to everywhere special.","00:15:22,320 "," 00:15:25,722"
Their abilities?,"00:15:25,840 "," 00:15:27,001"
