Speaker,Line
Natasha Romanoff,Whatever I can get my hands on.
Steve Rogers,Our mission is to rescue hostages.
Natasha Romanoff,No. Thats your mission.
Natasha Romanoff,And youve done it beautifully.
Steve Rogers,You just jeopardized this whole operation.
Natasha Romanoff,I think thats overstating things.
Natasha Romanoff,Okay. That ones on me.
Steve Rogers,Youre damn right.
Steve Rogers,"You just cant stop yourself from lying, can you."
Nick Fury,I didnt lie. Agent Romanoff had a different mission than yours.
Steve Rogers,Which you didnt feel obliged to share.
Nick Fury,Im not obliged to do anything.
Steve Rogers,"Those hostages couldve died, Nick."
Nick Fury,I sent the greatest soldier in history to make sure that didnt happen.
Steve Rogers,"Soldiers trust each other, thats what makes it an army. Not a bunch of guys running around and shooting guns."
Nick Fury,"The last time I trusted someone, I lost an eye. Look, I didnt want you doing anything you werent comfortable with. Agent Romanoff is comfortable with everything."
Steve Rogers,I cant lead a mission when the people Im leading have missions of their owns.
Nick Fury,Its called compartmentalization. Nobody spills the secrets because nobody knows them all.
Steve Rogers,Except you.
Nick Fury,Youre wrong about me. I do share. Im nice like that.
Nick Fury,Insight bay.
SHIELD Computer,Captain Rogers does not have clearance for Project Insight.
Nick Fury,"Director override, Fury, Nicholas J."
SHIELD Computer,Confirmed.
Steve Rogers,"You know, they used to play music."
Nick Fury,"Yeah. My grandfather operated one of these things for forty years. My granddad worked in a nice building, he got good tips."
Nick Fury,"Hed walk home every night, roll of ones stuffed in his lunch bag. Hed say hi, people would say hi back. Time went on, neighborhood got rougher. Hed say Hi, theyd say, Keep on steppin. Granddad got to grippin that lunch bag a little tighter."
Steve Rogers,Did he ever get mugged.
Nick Fury,"Every week some punk would say, Whats in the bag."
Steve Rogers,What did he do.
Nick Fury,Hed show em. Bunch of crumpled ones and loaded .22 Magnum.
Nick Fury,Granddad loved people. But he didnt trust them very much.
Nick Fury,"Yeah, I know. Theyre a little bit bigger than a .22."
Nick Fury,This is Project Insight. Three next generation Helicarriers synced to a network of targeting satellites.
Steve Rogers,Launched from the Lemurian Star.
Nick Fury,Once we get them in the air they never need to come down. Continuous suborbital flight courtesy of our new repulsor engines.
Steve Rogers,Stark.
Nick Fury,"Well, he had a few suggestions once he got an up close look at our old turbines. These new long range precision guns can eliminate a thousand hostiles a minute. The satellites can read a terrorists DNA before he steps outside his spider hole. We gonna neutralize a lot of threats before they even happen."
Steve Rogers,I thought the punishment usually came after the crime.
Nick Fury,We cant afford to wait that long.
Steve Rogers,Whos we.
Nick Fury,"After New York, I convinced the World Security Council we needed a quantum surge in threat analysis. For once were way ahead of the curve."
Steve Rogers,By holding a gun at everyone on Earth and calling it protection.
Nick Fury,"You know, I read those SSR files. Greatest generation. You guys did some nasty stuff."
Steve Rogers,"Yeah, we compromised. Sometimes in ways that made us not sleep so well. But we did it so the people could be free. This isnt freedom, this is fear."
Nick Fury,"SHIELD takes the world as it is, not as wed like it to be. Its getting damn near past time for you to get with that program, Cap."
Steve Rogers,Dont hold your breath.
The Smithsonian Narrator,"A symbol to the nation. A hero to the world. The story of Captain America is one of honor, bravery and sacrifice."
Woman on PA,Welcome to the Smithsonian. Visitor information booths are available on the second level.
The Smithsonian Narrator,"Denied enlistment due to poor health, Steven Rogers was chosen for a program unique in the annals of American warfare. One that would transform him into the worlds first super soldier."
Old Footage Recording,"In this rare footage, everyones favorite war hero, Captain America."
The Smithsonian Narrator,"Battle tested, Captain America and his Howling Commandos quickly earned their stripes. Their mission, taking down HYDRA, the Nazi rogue science division."
The Smithsonian Narrator,"Best friends since childhood, Bucky Barnes and Steven Rogers were inseparable on both schoolyard and battlefield. Barnes is the only Howling Commando to give his life in service of his country."
Peggy Carter,That was a difficult winter. A blizzard had trapped half our battalion behind the German line. Steve.
Peggy Carter,"Captain Rogers, he fought his way through a HYDRA blockade that had pinned our allies down for months. He saved over a thousand men, including the man who would.who would become my husband as it turned out. Even after he died, Steve was still changing my life."
Steve Rogers,"You should be proud of yourself, Peggy."
Peggy Carter,Mm. I have lived a life. My only regret is that you didnt get to live yours.
Peggy Carter,What is it.
Steve Rogers,"For as long as I can remember I just wanted to do what was right. I guess Im not quite sure what that is anymore. And I thought I could throw myself back in and follow orders, serve. Its just not the same."
Peggy Carter,"Youre always so dramatic. Look, you saved the world. We rather.mucked it up."
Steve Rogers,You didnt. Knowing that you helped found SHIELD is half the reason I stay.
Peggy Carter,"Hey. The world has changed and none of us can go back. All we can do is our best, and sometimes the best that we can do is to start over."
Steve Rogers,Peggy.
Peggy Carter,Steve.
Steve Rogers,Yeah.
Peggy Carter,"Youre alive. You.you came, you came back."
Steve Rogers,"Yeah, Peggy."
Peggy Carter,Its been so long. So long.
Steve Rogers,"Well, I couldnt leave my best girl. Not when she owes me a dance."
Nick Fury,Secure office.
Nick Fury,Open Lemurian Stars satellite launch file.
SHIELD Computer,Access denied.
Nick Fury,Run decryption.
SHIELD Computer,Decryption failed.
Nick Fury,"Director override, Fury, Nicholas J."
SHIELD Computer,Override denied. All files sealed.
Nick Fury,On whose authority.
SHIELD Computer,"Fury, Nicholas J."
Nick Fury,World Security Council.
SHIELD Computer,Confirmed.
Councilman Rockwell,"If Nick Fury thinks he can get his costumed thugs and STRIKE commandos to mop-up his mess, hes sadly mistaken. This failure is unacceptable."
Councilman Singh,"Well, considering this attack took place one mile from my countrys sovereign waters, its a bit more then that. I move for immediate hearing."
Councilwoman Hawley,"We dont need hearings, we need action. Its this Councils duty to oversee SHIELD."
Councilman Yen,A breach like this raises serious questions.
Councilman Rockwell,Like how the hell did a French pirate manage to hijack a covert SHIELD vessel in broad daylight.
Alexander Pierce,"For the record, councilman, hes Algerian. I can draw a map if itll help."
Councilman Rockwell,"I appreciate your wit, Secretary Pierce. But this Council take things like international piracy fairly seriously."
Alexander Pierce,"Really. I dont. I dont care about one boat, I care about the fleet. If this Council is going to fall a rancor every time someone pushes us on the playing field, maybe we need someone to oversee us."
Councilman Yen,"Mr Secretary, nobody is suggesting."
Alexander Pierce,Excuse me.
