Speaker,Line
Sergeant Duffy,"Pick up the pace, ladies. Lets go. Lets go. Double time. Come on Rogers, move it. Come on. Fall in. Rogers. I said fall in."
Natasha Romanoff,"This is a dead end. Zero heat signature, zero waves, not even radio. Whoever wrote the file must have used a router to throw people off. What is it."
Steve Rogers,Army regulations forbid storing ammunition within five hundred yards of the barracks. This building is in the wrong place.
Natasha Romanoff,This is SHIELD.
Steve Rogers,Maybe where it started.
Natasha Romanoff,Theres Starks father.
Steve Rogers,Howard.
Natasha Romanoff,Whos the girl.
Steve Rogers,If youre already working in a secret office. Why do you need to hide the elevator.
Natasha Romanoff,"This cant be the data-point, this technology is ancient."
Computer,Initiate system.
Natasha Romanoff,"Y-E-S, spells yes. Shall we play a game. Its from a movie that."
Steve Rogers,"Yeah, I saw it."
Dr. Arnim Zola,"Rogers, Steven. Born, 1918. Romanoff, Natalia Alianovna. Born, 1984."
Natasha Romanoff,Its some kind of a recording.
Dr. Arnim Zola,"I am not a recording, Fräulein. I may not be the man I was when the Captain took me prisoner in 1945, but I am."
Natasha Romanoff,Do you know this thing.
Steve Rogers,Arnim Zola was a German scientist who worked for the Red Skull. Hes been dead for years.
Dr. Arnim Zola,"First correction, I am Swiss. Second, look around you. I have never been more alive. In 1972 I received a terminal diagnosis. Science could not save my body, my mind, however, that was worth saving on two hundred thousand feet of data banks. You are standing in my brain."
Steve Rogers,How did you get here.
Dr. Arnim Zola,Invited.
Natasha Romanoff,It was Operation Paperclip after World War II. SHIELD recruited German scientists with strategic value.
Dr. Arnim Zola,They thought I could help their cause. I also helped my own.
Steve Rogers,HYDRA died with the Red Skull.
Dr. Arnim Zola,"Cut off one head, two more shall take its place."
Steve Rogers,Prove it.
Dr. Arnim Zola,"Accessing archive. HYDRA was founded on the belief that humanity could not be trusted with its own freedom. What we did not realize, was that if you try to take that freedom, they resist. The war taught us much. Humanity needed to surrender its freedom willingly. After the war, SHIELD was founded and I was recruited. The new HYDRA grew. A beautiful parasite inside SHIELD. For seventy years HYDRA has been secretly feeding crisis, reaping war. And when history did not cooperate, history was changed."
Natasha Romanoff,"Thats impossible, SHIELD would have stopped you."
Dr. Arnim Zola,"Accidents will happen. HYDRA created a world so chaotic that humanity is finally ready to sacrifice its freedom to gain its security. Once the purification process is complete, HYDRAs new world order will arise. We won, Captain. Your death amounts to the same as your Life; a zero sum. As I was saying."
Steve Rogers,Whats on this drive.
Dr. Arnim Zola,Project Insight requires insight. So I wrote an algorithm.
Natasha Romanoff,What kind of algorithm. What does it do.
Dr. Arnim Zola,"The answer to your question is fascinating. Unfortunately, you shall be too dead to hear it."
Natasha Romanoff,"Steve, we got a bogey. Short range ballistic. 30 seconds tops."
Steve Rogers,Who fired it.
Natasha Romanoff,S.H.I.E.L.D.
Dr. Arnim Zola,"I am afraid I have been stalling, Captain. Admit it, its better this way. Were both of us.out of time."
Brock Rumlow,Call in the asset.
Renata,"Im going to go, Mr Pierce. You need anything before I leave."
Alexander Pierce,"No. Uh.its fine, Renata, you can go home."
Renata,"Okay, night-night."
Alexander Pierce,"Good night. Want some milk. The timetable has moved. Our window is limited. Two targets, Level Six. They already cost me Zola. I want confirmed death in ten hours."
Renata,"Sorry, Mr Pierce, I.I forgot my phone."
Alexander Pierce,"Oh, Renata. I wish you would have knocked."
Sam Wilson,"Hey, man."
Steve Rogers,Im sorry about this. We need a place to lay low.
Natasha Romanoff,Everyone we know is trying to kill us.
Sam Wilson,Not everyone.
Steve Rogers,You okay.
Natasha Romanoff,Yeah.
Steve Rogers,Whats going on.
Natasha Romanoff,"When I first joined SHIELD, I thought I was going straight. But I guess I just traded in the KGB for HYDRA. I thought I knew whose lies I was telling, but.I guess I cant tell the difference anymore."
Steve Rogers,Theres a chance you might be in the wrong business.
Natasha Romanoff,I owe you.
Steve Rogers,Its okay.
Natasha Romanoff,"If it was the other way around, and it was down to me to save your life, and you be honest with me, would you trust me to do it."
Steve Rogers,I would now. And Im always honest.
Natasha Romanoff,"Well, you seem pretty chipper for someone who just found out they died for nothing."
Steve Rogers,"Well, I guess I just like to know who Im fighting."
Sam Wilson,I made breakfast. If you guys.eat that sort of thing.
Natasha Romanoff,"So, the question is: who in SHIELD could launch a domestic missile strike."
Steve Rogers,Pierce.
Natasha Romanoff,Who happens to be sitting on top of the most secure building in the world.
Steve Rogers,"But hes not working alone, Zolas algorithm was on the Lemurian Star."
Natasha Romanoff,So was Jasper Sitwell.
Steve Rogers,"So, the real question is: how do the two most wanted people in Washington kidnap a SHIELD officer in broad daylight."
Sam Wilson,The answer is: you dont.
Steve Rogers,Whats this.
Sam Wilson,Call it a resume.
Natasha Romanoff,"Is this Bakhmala. The Khalid Khandil mission, that was you. You didnt say he was a para-rescue."
Steve Rogers,Is this Riley.
Sam Wilson,Yeah.
Natasha Romanoff,"I heard they couldnt bring in the choppers because of the RPGs. What did you use, a stealth chute."
Sam Wilson,No. These.
Steve Rogers,I thought you said you were a pilot.
Sam Wilson,I never said pilot.
Steve Rogers,"I cant ask you to do this, Sam. You got out for a good reason."
Sam Wilson,"Dude, Captain America needs my help. Theres no better reason to get back in."
Steve Rogers,Where can we get our hands on one of these things.
Sam Wilson,"The last one is at Fort Meade, behind three guarded gates and a twelve-inch steel wall."
Steve Rogers,Shouldnt be a problem.
Senator Stern,"Listen, I gotta fly home tonight, cause uh.I got some constituency problem, and I gotta press the flesh."
Jasper Sitwell,"Any constituent in particular, Mr Senator."
Senator Stern,"Uh.no, not really. Twenty-three, kind of hot. Real hot. You know, wants to be a reporter, I think. I dont know, who listens at that point."
Jasper Sitwell,Doesnt sound much of a problem to me.
Senator Stern,"Really. Cause shes killing my back. Look, this isnt the place to talk about it. This is a nice pin."
Jasper Sitwell,Thank you.
Senator Stern,"Come here. Hail, HYDRA. See, its right there."
Jasper Sitwell,"I just saw that, yeah."
Senator Stern,Should I get it checked.
Jasper Sitwell,"I think you should. I need a minute. Bring the car around. Yes, sir."
Sam Wilson,"Agent Sitwell, how was lunch. I hear the crab cakes here are delicious."
Jasper Sitwell,Who is this.
Sam Wilson,"The good looking guy in the sunglasses, your ten oclock. Your other ten oclock. There you go."
Jasper Sitwell,What do you want.
Sam Wilson,"Youre gonna go around the corner, to your right. Theres a grey car, two spaces down. You and I are gonna take a ride."
Jasper Sitwell,And why would I do that.
Sam Wilson,"Because that tie looks really expensive, and Id hate to mess it up."
Steve Rogers,Tell me about Zolas algorithm.
Jasper Sitwell,Never heard of it.
Steve Rogers,What were you doing on the Lemurian Star.
Jasper Sitwell,"I was throwing up, I get seasick. Is this little display meant to insinuate that youre gonna throw me off the roof. Because its really not your style, Rogers."
Steve Rogers,Youre right. Its not. Its hers.
Natasha Romanoff,"Oh, wait. What about that girl from accounting, Laura."
Steve Rogers,"Lillian. Lip piercing, right."
Natasha Romanoff,"Yeah, shes cute."
Steve Rogers,"Yeah, Im not ready for that."
Jasper Sitwell,Zolas algorithm is a program.for choosing Insights targets.
Steve Rogers,What targets.
Jasper Sitwell,"You. A TV anchor in Cairo, the Undersecretary of Defense, a high school valedictorian in Iowa city. Bruce Banner, Stephen Strange, anyone whos a threat to HYDRA. Now, or in the future."
Steve Rogers,The Future. How could it know.
Jasper Sitwell,"How could it not. The 21st century is a digital book. Zola taught HYDRA how to read it. Your bank records, medical histories, voting patterns, e-mails, phone calls, your damn SAT scores. Zolas algorithm evaluates peoples past to predict their future."
Steve Rogers,And what then.
Jasper Sitwell,"Oh, my God. Pierce is gonna kill me."
Steve Rogers,What then.
Jasper Sitwell,Then the Insight Helicarriers scratch people off the list. A few million at a time.
Jasper Sitwell,HYDRA doesnt like leaks.
Sam Wilson,So why dont you try sticking a cork in it.
Natasha Romanoff,"Insights launching in sixteen hours, were cutting it a little bit close here."
Steve Rogers,I know. Well use him to bypass the DNA scans and access the Helicarriers directly.
Jasper Sitwell,"What. Are you crazy. That is a terrible, terrible idea."
Sam Wilson,Shit.
Steve Rogers,Hang on.
Winter Soldier,Она у меня. Найди его. Ill take care of her.) Find him.)
Sam Wilson,"Go, I got this."
Natasha Romanoff,"I make an LZ, twenty-three hundred block of Virginia Avenue. Rendezvous two minutes. Taking fire above and below expressway. Civilians threatened. Repeat, civilians threatened. I make an LZ, twenty-three hundred block at Virginia Avenue. Rendezvous two minutes."
Natasha Romanoff,Get out of the way. Stay out of the way.
Steve Rogers,Bucky.
Bucky Barnes,Who the hell is Bucky.
Brock Rumlow,"Drop the shield, Cap. On your knees. Get on your knees. Now. Get down. Get down. Get on your knees. Down. Dont move. Put the gun down. Not here. Not here."
Steve Rogers,It was him. He looked right at me like he didnt even know me.
Sam Wilson,Hows that even possible. It was like seventy years ago.
Steve Rogers,"Zola. Buckys whole unit was captured in 43, Zola experimented on him. Whatever he did helped Bucky survive the fall. They must have found him and."
Natasha Romanoff,"None of thats your fault, Steve."
Steve Rogers,"Even when I had nothing, I had Bucky."
Sam Wilson,We need to get a doctor here. We dont put pressure on that wound shes gonna bleed out here in the truck.
Maria Hill,Ah. That thing was squeezing my brain. Whos this guy.
Brock Rumlow,Three holes. Start digging.
Maria Hill,GSW. Shes lost at least a pint.
Sam Wilson,Maybe two.
Doctor,Let me take her.
Maria Hill,Shell want to see him first.
Nick Fury,"About damn time. Lacerated spinal column, cracked sternum, shattered collarbone, perforated liver, one hell of a headache."
Doctor,Dont forget your collapsed lung.
Nick Fury,"Oh, lets not forget that. Otherwise, Im good."
Natasha Romanoff,"They cut you open, your heart stopped."
Nick Fury,"Tetrodotoxin B. Slows the pulse to one beat a minute. Banner developed it for stress. Didnt work so great for him, but we found a use for it."
Steve Rogers,Why all the secrecy. Why not just tell us.
Maria Hill,Any attempt on the directors life had to look successful.
Nick Fury,"Cant kill you if youre already dead. Besides, I wasnt sure who to trust."
Dr. Arnim Zola,Sergeant Barnes.
Steve Rogers,"Bucky, no."
Dr. Arnim Zola,The procedure has already started. You are to be the new fist of HYDRA. Put him on ice.
Scientist #1,"Sir, hes.hes unstable. Erratic."
Alexander Pierce,"Mission report. Mission report, now."
Bucky Barnes,The man on the bridge. Who was he.
Alexander Pierce,You met him earlier this week on another assignment.
Bucky Barnes,I knew him.
Alexander Pierce,"Your work has been a gift to mankind. You shaped the century, and I need you to do it one more time. Society is at a tipping point between order and chaos. Tomorrow morning were gonna give it a push. But, if you dont do your part, I cant do mine, and HYDRA cant give the world the freedom it deserves."
Bucky Barnes,But I knew him.
Alexander Pierce,Prep him.
Scientist #1,Hes been out of cryo-freeze too long.
Alexander Pierce,Then wipe him and start over.
Nick Fury,"This man declined the Nobel Peace Prize. He said, Peace wasnt an achievement, it was a responsibility. See, its stuff like this that gives me trust issues."
Natasha Romanoff,We have to stop the launch.
Nick Fury,I dont think the Councils accepting my calls anymore.
Sam Wilson,Whats that.
Maria Hill,"Once the Helicarriers reach three thousand feet, theyll triangulate with Insight satellites becoming fully weaponized."
Nick Fury,We need to breach those carriers and replace their targeting blades with our own.
Maria Hill,"One or two wont cut it. We need to link all three carriers for this to work, because if even one of those ships remains operational a whole lot of people are gonna die."
Nick Fury,"We have to assume everyone aboard those carriers is HYDRA. We need to get pass them, insert the server blades, and maybe, just maybe, we can salvage whats left."
Steve Rogers,"Were not salvaging anything. Were not just taking down the carriers, Nick, were taking down SHIELD."
Nick Fury,SHIELD had nothing to do with it.
Steve Rogers,"You gave me this mission, this is how it ends. SHIELDs been compromised, you said so yourself. HYDRA grew right under your nose and nobody noticed."
Nick Fury,Why do you think were meeting in this cave. I noticed.
Steve Rogers,And how many paid the price before you did.
Nick Fury,"Look, I didnt know about Barnes."
Steve Rogers,"Even if you have, would you have told me. Or would you have compartmentalized that too. SHIELD, HYDRA, it all goes."
Maria Hill,Hes right.
Sam Wilson,"Dont look at me. I do what he does, just slower."
Nick Fury,"Well. Looks like youre giving the orders now, Captain."
Bucky Barnes,We looked for you after. My folks wanted to give you a ride to the cemetery.
Steve Rogers,"I know, Im sorry. I just.kind of wanted to be alone."
Bucky Barnes,How was it.
Steve Rogers,It was okay. Shes next to Dad.
Bucky Barnes,I was gonna ask.
Steve Rogers,"I know what youre gonna say, Buck, I just."
Bucky Barnes,"We can put the couch cushions on the floor like when we were kids. Itll be fun. All you gotta do is shine my shoes, maybe take out the trash. Come on."
Steve Rogers,"Thank you, Buck, but I can get by on my own."
Bucky Barnes,"The thing is, you dont have to. Im with you to the end of the line, pal."
Sam Wilson,"Hes gonna be there, you know."
Steve Rogers,I know.
Sam Wilson,"Look, whoever he used to be, the guy he is now, I dont think hes the kind you save. Hes the kind you stop."
Steve Rogers,I dont know if I can do that.
Sam Wilson,"Well, he might not give you a choice. He doesnt know you."
Steve Rogers,"He will. Gear up, its time."
Sam Wilson,You gonna wear that.
Steve Rogers,"No. If youre gonna fight a war, you gotta wear a uniform."
Smithsonian Guard,"Oh, man. I am so fired."
Man on PA,We are in final launch sequence.
SHIELD Tech,We are go on guidance.
Woman on PA,All personnel to launch station.
Alexander Pierce,And how was your flight.
Councilman Hawley,Lovely. The ride from the airport less so.
Alexander Pierce,"Sadly, SHIELD cant control everything."
Councilman Rockwell,Including Captain America.
Alexander Pierce,"This facility is biometrically controlled, and these will give you unrestricted access."
Com Tech #1,Ive been parking there for two months.
Com Tech #2,But its his spot.
Com Tech #1,So wheres he been.
Com Tech #2,I think Afghanistan.
Com Tech #1,"Negative, DT-6. The pattern is full. Well, he could have said something. Ow."
Com Tech #2,Must be the dish.
Com Tech #1,Ill check it out.
Man on PA,Triskelion command request we clear the area for launch.
Steve Rogers,Excuse us.
Alexander Pierce,"I know the road hasnt exactly been smooth, and some of you would have gladly kicked me out of the car along the way. Finally were here, and the world should be grateful."
Steve Rogers,"Attention, all SHIELD agents. This is Steve Rogers. Youve heard a lot about me over the last few days, some of you were even ordered to hunt me down. But I think its time you know the truth. SHIELD is not what we thought it was, its been taken over by HYDRA. Alexander Pierce is their leader. The STRIKE and Insight crew are HYDRA as well. I dont know how many more, but I know theyre in the building. They could be standing right next to you. They almost have what they want: absolute control. They shot Nick Fury and it wont end there. If you launch those Helicarriers today, HYDRA will be able to kill anyone that stands in their way, unless we stop them. I know Im asking a lot, but the price of freedom is high, it always has been, and its a price Im willing to pay. And if Im the only one, then so be it. But Im willing to bet Im not."
Sam Wilson,"Did you write that down first, or was it off the top of your head."
Councilman Rockwell,You smug son of a bitch.
Councilman Singh,Arrest him.
Alexander Pierce,I guess Ive got the floor.
Brock Rumlow,Preempt the launch sequence. Send those ships up now. Is there a problem.
SHIELD Tech,Im.
Brock Rumlow,Is there a problem.
SHIELD Tech,"Im sorry, sir. Im not gonna launch those ships. Captains orders."
Brock Rumlow,Move away from your station.
Sharon Carter,Like he said. Captains orders.
Brock Rumlow,"You picked the wrong side, Agent."
Sharon Carter,Depends on where youre standing.
SHIELD Agent,Close the bay door. Close the bay door now. Close the bay door.
Maria Hill,Theyre initiating launch.
Sam Wilson,"Hey, Cap, how do we know the good guys from the bad guys."
Steve Rogers,"If theyre shooting at you, theyre bad."
Sam Wilson,"Hey, Cap, I found those bad guys you were talking about."
Steve Rogers,You okay.
Sam Wilson,Im not dead yet.
Alexander Pierce,"Let me ask you a question. What if Pakistan marched into Mumbai tomorrow, and you knew that they were gonna drag your daughters into a soccer stadium for execution. And you could just stop it with a flick of the switch. Wouldnt you. Wouldnt you all."
Councilman Singh,Not if it was your switch.
Natasha Romanoff,Im sorry. Did I step on your moment.
Charlie Weapons Tech,Satellites in range at three thousand feet.
Maria Hill,"Falcon, status."
Sam Wilson,"Engaging. Alright, Cap, Im in. Shit."
Maria Hill,"Eight minutes, Cap."
Steve Rogers,Working on it.
Councilman Rockwell,What are you doing.
Alexander Pierce,Shes disabling security protocols and dumping all the secrets onto the Internet.
Natasha Romanoff,Including HYDRAs.
Alexander Pierce,"And SHIELDs. If you do this, non of your past is gonna remain hidden. Are you sure youre ready for the world to see you as you really are."
Natasha Romanoff,Are you.
Steve Rogers,Alpha locked.
Maria Hill,"Falcon, where are you now."
Sam Wilson,"I had to take a detour. Oh, yeah. Im in. Bravo locked."
Maria Hill,"Two down, one to go."
SHIELD Pilot,"All SHIELD pilots, scramble. Were the only air support Captain Rogers has got."
Alexander Pierce,"Disabling the encryption is an executive order, it takes two Alpha Level members."
Natasha Romanoff,"Dont worry, companys coming."
Alexander Pierce,"Did you get my flowers. Im glad youre here, Nick."
Nick Fury,Really. Cause I thought you had me killed.
Alexander Pierce,You know how the game works.
Nick Fury,So why make me head of SHIELD.
Alexander Pierce,Cause you were the best and the most ruthless person I ever met.
Nick Fury,I did what I did to protect people.
Alexander Pierce,"Our enemies are your enemies, Nick. Disorder, war. Its just a matter of time before a dirty bomb goes off in Moscow, or an EMP fries Chicago. Diplomacy. Holding action, a band-aid. And you know where I learned that; Bogota. You didnt ask, you just did what had to be done. I can bring order to the lives of seven billion people by sacrificing twenty million. Its the next step, Nick, if you have the courage to take it."
Nick Fury,"No, I have the courage not to."
SHIELD Computer,Retinal scanner active.
Alexander Pierce,You dont you think we wiped your clearance from the system.
Nick Fury,"I know you erased my password, probably deleted my retinal scan, but if you want to stay ahead of me, Mr Secretary. You need to keep both eyes open."
SHIELD Computer,Alpha Level confirmed. Encryption code accepted. Safeguards removed.
Maria Hill,Charlie Carriers forty-five degrees off the port bow. Six minutes.
Steve Rogers,"Hey, Sam, Im gonna need a ride."
Sam Wilson,Roger. Let me know when youre ready.
Steve Rogers,I just did.
Sam Wilson,"You know, youre a lot heavier than you look."
Steve Rogers,I had a big breakfast.
Sam Wilson,"Steve. Cap. Cap, come in. Are you okay."
Steve Rogers,"Yeah, Im here. Im still on the Helicarrier. Where are you."
Sam Wilson,"Im grounded, the suits down. Sorry, Cap."
Steve Rogers,"Dont worry, I got it."
SHIELD Agent,All SHIELD agents regroup at Rally Point Delta.
HYDRA Dispatch,"Sir, Councils been breached."
Brock Rumlow,"Repeat, dispatch."
HYDRA Dispatch,Black Widows up there.
Brock Rumlow,Headed up.
Maria Hill,Falcon.
Sam Wilson,Yeah.
Maria Hill,Rumlows headed for the Council.
Sam Wilson,Im on it.
Steve Rogers,"People are gonna die, Buck. I cant let that happen. Please, dont make me do this."
Natasha Romanoff,Done. And its trending.
Alexander Pierce,"Unless you want two inch hole in your sternum, Id put that gun down. That was armed the moment you pinned it on."
Steve Rogers,Drop it. Drop it.
Brock Rumlow,"Im on forty-one, headed towards the south-west stairwell. This is gonna hurt. There are no prisoners with HYDRA, just order. And order only comes through pain. You ready for yours."
Sam Wilson,"Man, shut the hell up."
Alexander Pierce,"Lieutenant, how much longer."
Charlie XO,Sixty-five seconds to satellite link. Targeting grid engaged. Lowering weapons array now.
Maria Hill,"One minute. Thirty seconds, Cap."
Steve Rogers,Stand by. Charlie.
Charlie Weapons Tech,Weve reached three thousand feet. Sat link coming online now.
Charlie XO,Deploy algorithm.
Charlie Weapons Tech,Algorithm deployed.
Alexander Pierce,We are go to targets.
Charlie Weapons Tech,Target saturation reached. All targets assigned.
Charlie XO,Fire when ready.
Charlie Weapons Tech,"Firing in, three, two, one."
Steve Rogers,Charlie locked.
Charlie XO,Where are the targets. Where are the targets.
Maria Hill,"Okay, Cap, get out of there."
Steve Rogers,Fire now.
Maria Hill,"But, Steve."
Steve Rogers,Do it. Do it now.
Alexander Pierce,What a waste.
Natasha Romanoff,Are you still on the fence about Rogers chances.
Alexander Pierce,"Time to go, Councilwoman. This way, come on. Youre gonna fly me out of here."
Nick Fury,"You know, there was a time I would have taken a bullet for you."
Alexander Pierce,You already did. You will again when its useful.
Nick Fury,"Romanoff. Natasha. Natasha, come on."
Natasha Romanoff,Ow. Those really do sting.
Alexander Pierce,Hail HYDRA.
Brock Rumlow,"Youre out of your depth, kid."
Sam Wilson,"Please, tell me you got that chopper in the air."
Natasha Romanoff,"Sam, where are you."
Sam Wilson,"41st floor, north-west corner."
Natasha Romanoff,"Were on it, stay where you are. Not an option."
Sam Wilson,41st floor. 41st.
Nick Fury,Its not like they put the floor numbers on the outside of the building.
Natasha Romanoff,"Hill, wheres Steve. You got a location on Rogers."
Steve Rogers,You know me.
Bucky Barnes,"No, I dont."
Steve Rogers,"Bucky, youve known me your whole life. Your name is James Buchanan Barnes."
Bucky Barnes,Shut up.
Steve Rogers,Im not gonna fight you. Youre my friend.
Bucky Barnes,Youre my mission. Youre my mission.
Steve Rogers,Then finish it. Cause Im with you to the end of the line.
Steve Rogers,On your left.
Bailiff,Do you solemnly swear to tell the truth the whole truth and nothing but the truth.
Natasha Romanoff,I do.
Committee General,Why havent we yet heard from Captain Rogers.
Natasha Romanoff,I dont know what there is left left for him to say. I think the wreck in the middle of the Potomac made his point fairly eloquently.
Committee General,"Well, he could explain how this countrys expected to maintain its national security now that he and you have laid waste to our intelligence apparatus."
Natasha Romanoff,"HYDRA was selling you lies, not intelligence."
Committee General,Many of which you seem to have had a personal hand in telling.
Scudder,"Agent, you should know that there are some on this committee who feel, given your service record, both for this country and against it, that you belong in a penitentiary, not mouthing off on Capitol Hill."
Natasha Romanoff,Youre not gonna put me in a prison. Youre not gonna put any of us in a prison. You know why.
Scudder,Do enlighten us.
Natasha Romanoff,"Because you need us. Yes, the world is a vulnerable place, and yes, we helped make it that way. But were also the ones best qualified to defend it. So if you want to arrest me, arrest me. Youll know where to find me."
Nick Fury,"So, youve experienced this sort of thing before."
Steve Rogers,You get used to it.
Nick Fury,"Weve been data-mining HYDRAs files. Looks like a lot of rats didnt go down with the ship. Im headed to Europe tonight, wanted to ask if youd come."
Steve Rogers,Theres something I gotta do first.
Nick Fury,"How about you, Wilson. Could use a man with your abilities."
Sam Wilson,Im more of a soldier than a spy.
Nick Fury,"Alright then. Anybody asks for me, tell them they can find me right here."
Natasha Romanoff,"You should be honored, thats about as close as he gets to saying thank you."
Steve Rogers,Not going with him.
Natasha Romanoff,No.
Steve Rogers,Not staying here.
Natasha Romanoff,"I blew all my covers, I gotta go figure out a new one."
Steve Rogers,That might take a while.
Natasha Romanoff,"Im counting on it. That thing you asked for, I called in a few favors from Kiev. ] Will you do me a favor. Call that nurse."
Steve Rogers,Shes not a nurse.
Natasha Romanoff,And youre not a SHIELD agent.
Steve Rogers,What was her name again.
Natasha Romanoff,"Sharon. Shes nice. Be careful, Steve. You might not want to pull on that thread."
Sam Wilson,Youre going after him.
Steve Rogers,You dont have to come with me.
Sam Wilson,I know. When do we start.
List,Its over. Fury has released everything to the public.
Baron Wolfgang von Strucker,Everything he knows about.
List,"Herr Strucker, if they get word of our work here, if they find out we serve HYDRA."
Baron Wolfgang von Strucker,"HYDRA, SHIELD, two sides of a coin thats no longer currency. What we have is worth more than any of them ever knew. Weve only scratched the surface and already. There are other facilities doing HYDRAs good work around the world. Well feed them to Captain America and his colorful friends. Keep them off our scent."
List,What about the volunteers.
Baron Wolfgang von Strucker,The dead will be buried so deep their own ghosts wont be able to find them.
List,And the survivors.
Baron Wolfgang von Strucker,"The twins. Sooner or later they will meet the twins. Its not a world of spies anymore, not even a world of heroes. This is the age of miracles, doctor. Theres nothing more horrifying than a miracle."
