Line,Strat Time,End Time
"No, he wasn't.","00:05:08,653 "," 00:05:09,700"
Ahh!,"00:06:10,733 "," 00:06:11,939"
Ahh!,"00:06:18,533 "," 00:06:19,668"
Hey!,"00:06:24,133 "," 00:06:25,134"
Don't move.,"00:07:04,013 "," 00:07:05,014"
Thanks.,"00:07:09,213 "," 00:07:10,214"
Yeah. You seemed prettyhelpless without me.,"00:07:10,453 "," 00:07:12,455"
What about the nurse thatlives across the hall from you?,"00:07:17,133 "," 00:07:18,828"
She seems kind of nice.,"00:07:18,853 "," 00:07:19,988"
"Secure the engine room,then find me a date.","00:07:20,013 "," 00:07:21,788"
I'm multitasking.,"00:07:21,813 "," 00:07:23,468"
I told Batroc...,"00:07:24,813 "," 00:07:25,860"
If we want to make S.H.I.E.L.D. pay us...,"00:07:26,213 "," 00:07:27,453"
...start sending them bodies now!,"00:07:27,693 "," 00:07:29,775"
I have a bullet for someone...,"00:07:31,653 "," 00:07:33,701"
You want a bullet in your head?,"00:07:34,493 "," 00:07:36,018"
Move that foot you wanta bullet in the head?,"00:07:36,293 "," 00:07:38,133"
Huh?,"00:07:38,533 "," 00:07:39,864"
I don't like waiting.,"00:07:47,853 "," 00:07:49,696"
Call Durand.,"00:07:50,813 "," 00:07:51,974"
I want this ship ready to movewhen the ransom comes.,"00:07:52,653 "," 00:07:55,348"
Start the engines.,"00:08:03,053 "," 00:08:04,054"
Okay.,"00:08:04,373 "," 00:08:05,454"
"Hey, sailor.","00:08:06,733 "," 00:08:07,814"
Shut up.,"00:08:27,613 "," 00:08:28,614"
You want to be a hero? Is that it?,"00:08:29,933 "," 00:08:32,254"
"All right, I've waited long enough...","00:08:38,733 "," 00:08:40,940"
Hey!,"00:08:44,253 "," 00:08:45,588"
Find Batroc...,"00:08:45,613 "," 00:08:46,668"
If I don't hear anything in two minutes...,"00:08:46,693 "," 00:08:47,694"
...I start killing them!,"00:08:47,893 "," 00:08:49,054"
I'll find him.,"00:08:49,253 "," 00:08:50,254"
2 minutes.,"00:08:59,293 "," 00:09:00,215"
"Radio silencefrom S.H.I.E.L.D., Batroc...","00:09:31,613 "," 00:09:33,980"
Targets acquired.,"00:09:38,333 "," 00:09:39,380"
S.T.R.I.K.E. in position.,"00:09:40,093 "," 00:09:41,140"
"Natasha, what's your status?","00:09:42,253 "," 00:09:43,373"
"Status, Natasha.","00:09:45,973 "," 00:09:46,974"
Hang on!,"00:09:47,133 "," 00:09:48,134"
Engine room secure.,"00:10:04,213 "," 00:10:05,339"
Time is up.,"00:10:14,053 "," 00:10:15,054"
Who dies first...?,"00:10:16,453 "," 00:10:18,057"
You!,"00:10:19,493 "," 00:10:20,494"
Get that one.,"00:10:20,613 "," 00:10:21,614"
On my mark.,"00:10:24,173 "," 00:10:25,174"
3...,"00:10:26,653 "," 00:10:27,984"
2... 1.,"00:10:28,173 "," 00:10:29,504"
"I told you,S.H.I.E.L.D. doesn't negotiate.","00:10:35,813 "," 00:10:38,862"
The line just went dead.,"00:10:42,533 "," 00:10:43,978"
I've lost contact with them...,"00:10:44,293 "," 00:10:45,704"
Ahh!,"00:10:47,813 "," 00:10:49,053"
Hostages en route to extraction.,"00:10:59,253 "," 00:11:01,381"
"Romanoff missedthe rendezvous point, Cap.","00:11:02,253 "," 00:11:04,699"
Hostiles are still in play.,"00:11:05,253 "," 00:11:07,221"
"Natasha, Batroc's on the move.","00:11:07,373 "," 00:11:09,740"
Circle back to Rumlowand protect the hostages.,"00:11:09,933 "," 00:11:11,981"
Natasha.,"00:11:12,893 "," 00:11:14,019"
I thought you weremore than just a shield...,"00:11:50,573 "," 00:11:52,333"
Let's see.,"00:12:06,453 "," 00:12:07,943"
"Well, this is awkward.","00:12:33,733 "," 00:12:35,258"
What are you doing?,"00:12:38,693 "," 00:12:39,899"
Backing up the hard drive.,"00:12:40,053 "," 00:12:41,348"
It's a good habit to get into.,"00:12:41,373 "," 00:12:42,784"
Rumlow needed your help.,"00:12:43,293 "," 00:12:44,340"
What the hell are you doing here?,"00:12:44,453 "," 00:12:45,773"
You're saving S.H.I.E.L.D. intel.,"00:12:49,333 "," 00:12:50,539"
Whatever I can get my hands on.,"00:12:50,653 "," 00:12:51,984"
Our mission is to rescue hostages.,"00:12:52,133 "," 00:12:53,498"
