Line,Strat Time,End Time
Nothing out of order,"00:10:39,973 "," 00:10:41,724"
except your confusedand distracted heart.,"00:10:41,975 "," 00:10:45,019"
"This isn't about Jane Foster, Father.","00:10:45,186 "," 00:10:47,438"
"Human lives are fleeting,they're nothing.","00:10:47,856 "," 00:10:49,148"
You'd be better servedby what lies in front of you.,"00:10:49,649 "," 00:10:51,567"
"I'm telling you this, not as the Allfather,","00:10:54,612 "," 00:10:56,030"
but as your father.,"00:10:56,114 "," 00:10:57,156"
You are ready.,"00:10:57,240 "," 00:10:58,240"
The time has comefor you to take the throne.,"00:10:58,575 "," 00:11:00,367"
Embrace and celebratewhat you've won.,"00:11:00,493 "," 00:11:02,244"
Join your warriors.,"00:11:02,829 "," 00:11:04,371"
"Eat and drink, revel in their celebration.","00:11:04,456 "," 00:11:06,915"
At least pretend to enjoy yourself.,"00:11:08,043 "," 00:11:10,377"
Another!,"00:11:55,215 "," 00:11:56,548"
There was a timewhen you would celebrate for weeks.,"00:12:12,857 "," 00:12:15,859"
I remember you celebratedthe Battle of Harokin,"00:12:17,195 "," 00:12:20,280"
so much that you nearlystarted the second.,"00:12:20,407 "," 00:12:22,658"
"Well, the first was so much fun.","00:12:23,326 "," 00:12:25,327"
Take a drink with me.,"00:12:31,793 "," 00:12:33,836"
"Surely, the Allfather could haveno further task for you tonight.","00:12:33,962 "," 00:12:37,005"
"No, this is one I set myself.","00:12:37,173 "," 00:12:39,007"
It does not go unnoticedthat you disappear each night.,"00:12:40,760 "," 00:12:44,054"
There are nine realms.,"00:12:44,431 "," 00:12:46,432"
The future king of Asgardmust focus on more than one.,"00:12:46,599 "," 00:12:49,560"
I thank you for your sword,"00:12:54,649 "," 00:12:56,400"
"and for your counsel, good Lady Sif.","00:12:56,484 "," 00:12:59,611"
Hi.,"00:13:20,091 "," 00:13:23,427"
"So, what's the story with you?","00:13:23,720 "," 00:13:24,887"
Why does there have to be a story?There's no story.,"00:13:25,597 "," 00:13:27,556"
You spent the firstten minutes of our date,"00:13:27,724 "," 00:13:29,975"
hiding behind a menuthat has three choices on it.,"00:13:30,059 "," 00:13:32,019"
"It's either chicken,vegetarian, or fish, Jane.","00:13:32,604 "," 00:13:34,521"
I think there's a story,"00:13:34,898 "," 00:13:36,732"
and I'm thinkingthe story involves a guy.,"00:13:36,900 "," 00:13:40,068"
It's complicated.,"00:13:40,737 "," 00:13:42,070"
Is he still around?,"00:13:42,238 "," 00:13:43,405"
"No, he...","00:13:43,615 "," 00:13:45,532"
Went away.,"00:13:46,034 "," 00:13:47,201"
I've been there.,"00:13:47,368 "," 00:13:48,744"
"The going away. It's hard, isn't it?","00:13:48,912 "," 00:13:50,954"
I was seeing a woman,"00:13:51,247 "," 00:13:52,456"
and she took a job in New York.,"00:13:52,749 "," 00:13:54,416"
"Eventually, the distance killed it.","00:13:55,084 "," 00:13:56,877"
And the factthat she kept sleeping with other dudes.,"00:13:57,086 "," 00:14:00,422"
" No! Oh, so many.","00:14:00,590 "," 00:14:02,174"
"Hi. Could we get some wine, please?","00:14:03,593 "," 00:14:06,345"
"Sure, I'd love some.","00:14:06,513 "," 00:14:07,554"
"Richard, this is Darcy.","00:14:07,680 "," 00:14:09,264"
What are you doing here?,"00:14:10,308 "," 00:14:11,767"
Oh. Hello.,"00:14:13,978 "," 00:14:14,978"
"So, I show up to workat the lab/your mom's house,","00:14:15,230 "," 00:14:18,815"
"fully expecting youto be moping around in your pajamas,","00:14:18,942 "," 00:14:22,653"
eating ice cream and obsessing about...,"00:14:22,779 "," 00:14:24,488"
You know who.,"00:14:24,656 "," 00:14:25,656"
Ah.,"00:14:25,823 "," 00:14:26,865"
But you're not.You're wearing lady clothes.,"00:14:26,991 "," 00:14:29,409"
"You even showered, didn't you?You smell good.","00:14:29,536 "," 00:14:31,119"
Is there a point to all this?,"00:14:31,246 "," 00:14:32,246"
Because there really needsto be a point to all this.,"00:14:32,330 "," 00:14:34,331"
